Ip-Mac,Start Date,Start Time,End Date,End Time,MB Consumption
100.71.225.226,01 Mar 24,02:46:23,01 Mar 24,14:45:59,9358.55
100.71.226.248,01 Mar 24,14:47:33,02 Mar 24,02:45:00,18815.96
100.71.84.54,02 Mar 24,02:46:20,02 Mar 24,14:45:59,12936.07
100.71.94.27,02 Mar 24,14:46:31,03 Mar 24,02:45:00,18294.19
100.71.35.41,03 Mar 24,02:46:23,03 Mar 24,14:45:59,13301
100.71.255.249,03 Mar 24,14:46:34,04 Mar 24,02:45:00,12637.26
100.71.83.63,04 Mar 24,02:46:20,04 Mar 24,14:45:59,10128.84
100.71.225.10,04 Mar 24,14:46:26,04 Mar 24,17:40:59,3977.56
100.71.41.181,04 Mar 24,17:43:34,05 Mar 24,02:45:00,12786.98
100.71.121.140,05 Mar 24,02:46:23,05 Mar 24,14:45:59,12171.96
100.71.24.230,05 Mar 24,14:46:34,06 Mar 24,02:45:00,21133.52
100.71.244.38,06 Mar 24,02:46:22,06 Mar 24,14:45:59,14318.33
100.71.43.255,06 Mar 24,14:46:33,07 Mar 24,02:45:00,21730.27
100.71.189.60,07 Mar 24,02:46:23,07 Mar 24,14:45:59,10189.09
100.71.164.80,07 Mar 24,14:46:34,08 Mar 24,02:45:00,17292.37
100.71.57.190,08 Mar 24,02:46:23,08 Mar 24,14:45:59,14590.45
100.71.150.66,08 Mar 24,14:46:34,09 Mar 24,02:45:00,21867.08
100.71.105.38,09 Mar 24,02:46:23,09 Mar 24,14:45:59,15762.12
100.71.235.17,09 Mar 24,14:46:34,10 Mar 24,02:45:00,18619.67
100.71.157.76,10 Mar 24,02:46:23,10 Mar 24,14:45:59,13476.73
100.71.148.116,10 Mar 24,14:46:31,11 Mar 24,02:45:00,19385.59
100.71.202.71,11 Mar 24,02:46:23,11 Mar 24,14:45:59,12609.08
100.71.71.203,11 Mar 24,14:46:33,12 Mar 24,02:45:00,11925.18
100.71.192.150,12 Mar 24,02:46:22,12 Mar 24,14:45:59,13684.59
100.71.138.72,12 Mar 24,14:46:33,13 Mar 24,02:45:00,28479.53
100.71.80.160,13 Mar 24,02:46:23,13 Mar 24,14:45:59,10110.31
100.71.55.183,13 Mar 24,14:46:34,14 Mar 24,02:45:00,16220.39
100.71.170.251,14 Mar 24,02:46:23,14 Mar 24,14:45:59,8603.79
100.71.111.167,14 Mar 24,14:46:34,15 Mar 24,02:45:00,16459.93
100.71.60.132,15 Mar 24,02:46:23,15 Mar 24,14:45:59,18033.88
100.71.252.201,15 Mar 24,14:46:34,16 Mar 24,02:45:00,19591.09
100.71.120.101,16 Mar 24,02:46:23,16 Mar 24,14:45:59,11887.23
100.71.27.6,16 Mar 24,14:46:34,17 Mar 24,02:45:00,20769.54
100.71.221.55,17 Mar 24,02:46:23,17 Mar 24,14:45:59,13501.13
100.71.155.24,17 Mar 24,14:46:34,18 Mar 24,02:45:00,15928.85
100.71.14.65,18 Mar 24,02:46:20,18 Mar 24,14:45:59,10016.56
