Ip-Mac,Start Date,Start Time,End Date,End Time,MB Consumption
100.71.164.83,30 Apr 22,03:01:24,30 Apr 22,15:01:00,13045.86
100.71.29.80,30 Apr 22,15:01:35,01 May 22,02:59:59,14265.7
100.71.38.5,01 May 22,03:01:24,01 May 22,10:31:59,3397.03
100.71.39.240,01 May 22,10:34:07,01 May 22,22:34:00,16830.55
100.71.27.98,01 May 22,22:34:15,02 May 22,02:59:59,188.78
100.71.76.209,02 May 22,03:01:23,02 May 22,15:01:00,6264.21
100.71.231.78,02 May 22,15:01:35,03 May 22,02:59:59,11869.7
100.71.38.105,03 May 22,03:01:25,03 May 22,15:01:00,18625.59
100.71.218.182,03 May 22,15:01:39,04 May 22,02:59:59,13217.76
100.71.162.210,04 May 22,03:01:24,04 May 22,15:01:00,10503.53
100.71.50.130,04 May 22,15:01:36,05 May 22,02:59:59,23469.95
100.71.249.230,05 May 22,03:01:23,05 May 22,15:01:00,14502.39
100.71.73.172,05 May 22,15:01:36,06 May 22,02:59:59,17165.9
100.71.39.66,06 May 22,03:01:24,06 May 22,15:01:00,11598.45
100.71.213.119,06 May 22,15:01:32,06 May 22,23:00:00,13570.27
100.71.126.219,08 May 22,04:29:59,08 May 22,16:29:59,17874.29
100.71.218.127,08 May 22,16:30:09,09 May 22,02:59:59,19625.42
100.71.170.59,09 May 22,03:01:21,09 May 22,15:01:00,13488.25
100.71.73.149,09 May 22,15:01:33,10 May 22,02:59:59,11237.54
100.71.22.35,10 May 22,03:01:23,10 May 22,15:01:00,15793.05
100.71.14.247,10 May 22,15:01:33,11 May 22,02:59:59,30419.18
100.71.119.9,11 May 22,03:01:24,11 May 22,15:01:00,26079.27
100.71.225.246,11 May 22,15:01:32,11 May 22,20:00:59,12252.23
100.71.250.214,12 May 22,09:48:48,12 May 22,12:35:00,7035.63
100.71.179.117,12 May 22,12:49:28,12 May 22,17:43:59,8109.25
100.71.126.158,13 May 22,15:24:25,14 May 22,02:59:59,34843.77
100.71.245.244,14 May 22,03:01:21,14 May 22,15:01:00,17141.42
100.71.127.168,14 May 22,15:01:33,15 May 22,02:59:59,16164.79
100.71.3.156,15 May 22,03:01:27,15 May 22,15:01:00,15987.97
100.71.184.46,15 May 22,15:01:39,16 May 22,02:59:59,23370.63
100.71.27.241,16 May 22,03:01:24,16 May 22,15:01:00,18732.92
100.71.157.89,16 May 22,15:01:32,16 May 22,17:27:59,3855.04
100.71.245.208,16 May 22,17:37:40,17 May 22,02:59:59,13734.78
100.71.81.44,17 May 22,03:01:23,17 May 22,15:01:00,9242.81
100.71.228.142,17 May 22,15:01:35,18 May 22,02:59:59,25638.72
100.71.233.245,18 May 22,03:01:25,18 May 22,15:01:00,14377.22
100.71.80.73,18 May 22,15:01:36,19 May 22,02:59:59,19823.47
100.71.79.163,19 May 22,03:01:27,19 May 22,15:01:00,14539.11
100.71.114.113,19 May 22,15:01:37,20 May 22,02:59:59,25066.07
100.71.32.247,20 May 22,03:01:24,20 May 22,15:01:00,12884.69
100.71.185.20,20 May 22,15:01:36,21 May 22,02:59:59,21544.62
100.71.6.50,21 May 22,03:01:23,21 May 22,08:14:59,1900.6
100.71.174.180,21 May 22,08:19:05,21 May 22,09:47:59,4651.64
100.71.120.249,23 May 22,16:01:54,24 May 22,02:59:59,16907.23
100.71.40.189,24 May 22,03:01:23,24 May 22,07:44:00,1888.89
100.71.66.194,24 May 22,11:10:45,24 May 22,17:45:59,12602.13
100.71.44.119,24 May 22,17:47:06,25 May 22,02:59:59,8285.82
100.71.195.189,25 May 22,03:01:23,25 May 22,15:01:00,14978.67
100.71.233.3,25 May 22,15:01:36,26 May 22,02:59:59,21823.15
100.71.77.255,26 May 22,03:01:24,26 May 22,15:01:00,18655.19
100.71.85.217,26 May 22,15:01:33,26 May 22,21:07:00,12699.67
100.71.109.30,27 May 22,11:45:44,27 May 22,23:45:00,26879.22
100.71.140.221,27 May 22,23:45:52,28 May 22,02:59:59,2133.08
100.71.40.249,28 May 22,03:01:24,28 May 22,15:01:00,15303.58
100.71.187.62,28 May 22,15:01:36,29 May 22,02:59:59,38770.78
100.71.251.251,29 May 22,03:01:25,29 May 22,15:01:00,14775.26
100.71.79.199,29 May 22,15:01:36,30 May 22,02:59:59,17338.91
100.71.100.117,30 May 22,03:01:24,30 May 22,15:01:00,12565.94
100.71.12.190,30 May 22,15:01:36,31 May 22,02:59:59,9110.22
100.71.220.23,31 May 22,03:01:21,31 May 22,15:01:00,11357.33
100.71.204.55,31 May 22,15:01:32,01 Jun 22,02:59:59,26159.88
100.71.248.101,01 Jun 22,03:01:25,01 Jun 22,15:01:00,16480.09
100.71.160.152,01 Jun 22,15:01:36,02 Jun 22,02:59:59,23693.94
100.71.12.220,02 Jun 22,03:01:24,02 Jun 22,10:21:00,4852.56
100.71.204.139,02 Jun 22,12:51:21,03 Jun 22,00:51:00,25934.42
100.71.2.172,03 Jun 22,00:51:28,03 Jun 22,02:59:59,1806.53
100.71.183.100,03 Jun 22,03:01:20,03 Jun 22,03:14:00,4.76
100.71.238.209,04 Jun 22,12:14:44,04 Jun 22,20:45:00,18186.18
100.71.35.137,04 Jun 22,20:45:36,05 Jun 22,02:59:59,18388.24
100.71.22.108,05 Jun 22,03:01:25,05 Jun 22,15:01:00,16912.53
100.71.226.240,05 Jun 22,15:01:35,06 Jun 22,01:26:59,18585.75
100.71.103.104,06 Jun 22,01:29:03,06 Jun 22,02:59:59,164.67
100.71.148.85,06 Jun 22,03:01:24,06 Jun 22,15:01:00,13129.92
100.71.87.222,06 Jun 22,15:01:36,07 Jun 22,02:59:59,26394.41
100.71.167.214,07 Jun 22,03:01:24,07 Jun 22,15:01:00,11935.41
100.71.111.206,07 Jun 22,15:01:33,08 Jun 22,02:59:59,22589.24
100.71.220.104,08 Jun 22,03:01:28,08 Jun 22,15:01:00,7546.35
100.71.56.251,08 Jun 22,15:01:40,09 Jun 22,02:59:59,25809.51
100.71.190.168,09 Jun 22,03:01:24,09 Jun 22,15:01:00,21506.41
100.71.206.255,09 Jun 22,15:01:36,10 Jun 22,02:59:59,33376.33
100.71.39.60,10 Jun 22,03:01:23,10 Jun 22,15:01:00,32661.42
100.71.186.63,10 Jun 22,15:01:36,11 Jun 22,02:59:59,24051.5
100.71.56.106,11 Jun 22,03:01:24,11 Jun 22,15:01:00,10068.15
100.71.151.172,11 Jun 22,15:01:35,12 Jun 22,02:59:59,18720.78
100.71.146.200,12 Jun 22,03:01:24,12 Jun 22,15:01:00,7377.98
100.71.61.174,12 Jun 22,15:01:36,13 Jun 22,02:59:59,21306.38
100.71.36.63,13 Jun 22,03:01:25,13 Jun 22,15:01:00,9849.02
100.71.133.147,13 Jun 22,15:01:36,14 Jun 22,02:59:59,16040.14
100.71.243.89,14 Jun 22,03:01:25,14 Jun 22,15:01:00,11006.01
100.71.116.157,14 Jun 22,15:01:33,14 Jun 22,17:14:59,7383.24
100.71.215.129,14 Jun 22,19:07:12,15 Jun 22,02:59:59,7718.23
100.71.124.122,15 Jun 22,03:01:25,15 Jun 22,15:01:00,10496.63
100.71.124.11,15 Jun 22,15:01:36,16 Jun 22,02:59:59,28296.55
100.71.177.223,16 Jun 22,03:01:25,16 Jun 22,15:01:00,12537.4
100.71.139.134,16 Jun 22,15:01:36,17 Jun 22,02:59:59,29382.82
100.71.176.89,17 Jun 22,03:01:24,17 Jun 22,09:43:00,5028.47
100.71.157.90,17 Jun 22,10:56:50,17 Jun 22,22:55:59,31056.29
100.71.132.174,17 Jun 22,22:56:57,18 Jun 22,02:59:59,6660.74
100.71.82.141,18 Jun 22,03:01:24,18 Jun 22,10:04:00,4464.04
100.71.16.72,18 Jun 22,16:50:07,18 Jun 22,17:35:59,837.82
100.71.10.181,18 Jun 22,17:38:02,19 Jun 22,02:59:59,18537.39
100.71.106.170,19 Jun 22,03:01:25,19 Jun 22,15:01:00,13061.06
100.71.238.35,19 Jun 22,15:01:33,19 Jun 22,19:10:00,8912.93
100.71.191.178,19 Jun 22,19:11:26,20 Jun 22,02:59:59,14495.95
100.71.223.165,20 Jun 22,03:01:24,20 Jun 22,15:01:00,10126.25
100.71.139.210,20 Jun 22,15:01:35,21 Jun 22,02:59:59,37475.89
100.71.49.246,21 Jun 22,03:01:27,21 Jun 22,15:01:00,10661.93
100.71.66.73,21 Jun 22,15:01:37,21 Jun 22,23:05:00,19138.35
100.71.138.60,21 Jun 22,23:05:25,22 Jun 22,02:59:59,1627.72
100.71.123.233,22 Jun 22,03:01:25,22 Jun 22,15:01:00,21889.41
100.71.40.82,22 Jun 22,15:01:33,22 Jun 22,15:52:00,1514.64
100.71.14.84,22 Jun 22,17:17:15,23 Jun 22,02:59:59,11234.2
100.71.52.42,23 Jun 22,03:01:23,23 Jun 22,12:12:00,2441.75
100.71.160.232,23 Jun 22,13:36:12,23 Jun 22,13:53:59,289.35
100.71.5.72,23 Jun 22,13:55:24,23 Jun 22,22:39:59,26464.88
100.71.145.232,23 Jun 22,22:40:50,24 Jun 22,02:59:59,3084.79
100.71.192.156,24 Jun 22,03:01:23,24 Jun 22,15:01:00,13840.9
100.71.13.23,24 Jun 22,15:01:32,24 Jun 22,20:17:59,10172.67
100.71.233.115,24 Jun 22,20:18:25,24 Jun 22,20:19:59,7.42
100.71.218.253,24 Jun 22,20:20:41,24 Jun 22,21:14:00,2201.38
100.71.199.192,24 Jun 22,21:15:15,25 Jun 22,02:59:59,7026.58
100.71.232.173,25 Jun 22,03:01:24,25 Jun 22,15:01:00,20585.5
100.71.169.18,25 Jun 22,15:01:36,26 Jun 22,02:59:59,21664.24
100.71.216.8,26 Jun 22,03:01:27,26 Jun 22,15:01:00,37884.58
100.71.227.7,26 Jun 22,15:01:36,27 Jun 22,02:59:59,23513.37
100.71.175.54,27 Jun 22,03:01:24,27 Jun 22,11:48:59,11637.8
100.71.113.89,27 Jun 22,11:49:07,27 Jun 22,11:50:00,1.31
100.71.36.183,27 Jun 22,11:51:35,27 Jun 22,20:06:00,13998.91
100.71.19.195,27 Jun 22,20:08:15,28 Jun 22,02:59:59,18896.05
100.71.28.75,28 Jun 22,03:01:24,28 Jun 22,15:01:00,15553.49
100.71.182.67,28 Jun 22,15:01:36,29 Jun 22,02:59:59,24764.97
100.71.91.205,29 Jun 22,03:01:25,29 Jun 22,15:01:00,19833.6
100.71.253.19,29 Jun 22,15:01:32,29 Jun 22,19:15:59,12077.05
100.71.216.146,29 Jun 22,19:16:37,30 Jun 22,02:59:59,15925.85
100.71.62.111,30 Jun 22,03:01:24,30 Jun 22,15:01:00,18215.51
100.71.184.245,30 Jun 22,15:01:36,01 Jul 22,02:59:59,32869.19
100.71.162.211,01 Jul 22,03:01:24,01 Jul 22,15:01:00,15498.42
100.71.233.49,01 Jul 22,15:01:32,01 Jul 22,15:20:00,426.1
100.71.150.44,01 Jul 22,15:21:49,02 Jul 22,02:59:59,23163.88
100.71.162.218,02 Jul 22,03:01:24,02 Jul 22,15:01:00,15636.11
100.71.181.8,02 Jul 22,15:01:36,03 Jul 22,02:59:59,26451.4
100.71.98.127,03 Jul 22,03:01:23,03 Jul 22,07:10:00,1149.95
100.71.152.196,03 Jul 22,07:18:09,03 Jul 22,13:05:00,16826.64
100.71.209.134,03 Jul 22,13:11:37,03 Jul 22,14:03:00,2490.29
100.71.231.39,03 Jul 22,14:11:08,04 Jul 22,02:11:00,28479.72
100.71.0.218,04 Jul 22,02:11:13,04 Jul 22,02:59:59,13.79
100.71.36.207,04 Jul 22,03:01:24,04 Jul 22,15:01:00,5233.08
100.71.170.182,04 Jul 22,15:01:36,05 Jul 22,02:59:59,10957.76
100.71.88.160,05 Jul 22,03:01:23,05 Jul 22,07:31:00,1135.1
100.71.113.36,05 Jul 22,19:56:54,06 Jul 22,02:59:59,7210.59
100.71.199.221,06 Jul 22,03:01:24,06 Jul 22,10:42:59,6168.87
100.71.192.166,06 Jul 22,10:48:26,06 Jul 22,22:47:59,15090.91
100.71.128.31,06 Jul 22,22:48:35,07 Jul 22,02:59:59,494.01
100.71.87.216,07 Jul 22,03:01:28,07 Jul 22,15:01:00,13477.23
100.71.155.19,07 Jul 22,15:01:39,08 Jul 22,02:59:59,29501.04
100.71.108.22,08 Jul 22,03:01:28,08 Jul 22,15:01:00,10413.42
100.71.229.251,08 Jul 22,15:01:37,09 Jul 22,02:59:59,24590.17
100.71.76.136,09 Jul 22,03:01:24,09 Jul 22,15:01:00,7681.43
100.71.15.56,09 Jul 22,15:01:36,10 Jul 22,02:59:59,22062.69
100.71.193.95,10 Jul 22,03:01:24,10 Jul 22,15:01:00,14209.33
100.71.212.241,10 Jul 22,15:02:29,11 Jul 22,02:59:59,19171.32
100.71.50.115,11 Jul 22,03:01:27,11 Jul 22,15:01:00,9121.98
100.71.22.150,11 Jul 22,15:01:36,12 Jul 22,02:59:59,19010.89
100.71.198.129,12 Jul 22,03:01:23,12 Jul 22,15:01:00,9492.71
100.71.115.169,12 Jul 22,15:01:35,13 Jul 22,02:59:59,10684.16
100.71.104.35,13 Jul 22,03:01:20,13 Jul 22,15:01:00,5717.48
100.71.88.179,13 Jul 22,15:01:32,14 Jul 22,02:59:59,19638.18
100.71.87.104,14 Jul 22,03:01:24,14 Jul 22,15:01:00,5754.26
100.71.21.206,14 Jul 22,15:01:36,15 Jul 22,02:59:59,22291.68
100.71.233.75,15 Jul 22,03:01:25,15 Jul 22,15:01:00,6458.98
100.71.217.78,15 Jul 22,15:01:36,16 Jul 22,02:59:59,28574.32
100.71.186.199,16 Jul 22,03:01:25,16 Jul 22,15:01:00,10969.15
100.71.14.117,16 Jul 22,15:01:37,17 Jul 22,02:59:59,39257.07
100.71.19.17,17 Jul 22,03:01:25,17 Jul 22,15:01:00,12505.6
100.71.212.182,17 Jul 22,15:01:36,18 Jul 22,02:59:59,19323.56
100.71.48.175,18 Jul 22,03:01:27,18 Jul 22,15:01:00,10939.03
100.71.173.134,18 Jul 22,15:01:37,19 Jul 22,02:59:59,26689.97
100.71.197.56,19 Jul 22,03:01:24,19 Jul 22,09:46:00,3138.4
100.71.224.97,19 Jul 22,09:54:36,19 Jul 22,21:54:00,24530.87
100.71.43.220,19 Jul 22,21:54:46,20 Jul 22,02:59:59,6131.81
100.71.54.173,20 Jul 22,03:01:21,20 Jul 22,03:38:00,115.73
100.71.6.228,20 Jul 22,03:39:18,20 Jul 22,10:55:59,3891.51
100.71.17.255,20 Jul 22,10:59:49,20 Jul 22,11:00:59,1.07
100.71.28.148,20 Jul 22,11:01:12,20 Jul 22,16:36:00,13651.55
100.71.34.215,20 Jul 22,16:36:21,21 Jul 22,02:59:59,22953.39
100.71.66.242,21 Jul 22,03:01:24,21 Jul 22,15:01:00,8079.02
100.71.20.227,21 Jul 22,15:01:36,22 Jul 22,02:59:59,17775.38
100.71.84.162,22 Jul 22,03:01:25,22 Jul 22,15:01:00,12092.91
